scenario,seed,strategy,detection_probability,false_alarm_probability,interception_ratio,average_intercept_delay,average_reward,coverage
mixed,5,Adaptive,0.9583333333333334,0.057692307692307696,0.2826747720364742,19.666666666666668,0.43,1.0
mixed,5,Smart Adaptive,0.9622641509433962,0.02127659574468085,0.5015197568389058,16.927272727272726,0.5,1.0
mixed,6,Sequential,0.9736842105263158,0.08064516129032258,0.6189024390243902,18.497536945812808,0.32,1.0
mixed,6,Random,0.918918918918919,0.07936507936507936,0.6189024390243902,21.92118226600985,0.29,1.0
mixed,6,Adaptive,0.9565217391304348,0.09259259259259259,0.22865853658536586,11.213333333333333,0.39,1.0
mixed,6,Smart Adaptive,0.9583333333333334,0.038461538461538464,0.3384146341463415,20.18018018018018,0.44,1.0
mixed,7,Sequential,0.9285714285714286,0.034482758620689655,0.7648809523809523,24.747081712062258,0.37,1.0
mixed,7,Random,0.9705882352941176,0.10606060606060606,0.5357142857142857,22.33888888888889,0.26,0.95
mixed,7,Adaptive,0.9818181818181818,0.044444444444444446,0.20833333333333334,9.757142857142858,0.52,1.0
mixed,7,Smart Adaptive,0.9545454545454546,0.05357142857142857,0.3273809523809524,17.345454545454544,0.39,1.0
mixed,8,Sequential,0.9,0.08333333333333333,0.6298701298701299,19.788659793814432,0.31,1.0
mixed,8,Random,0.9347826086956522,0.07407407407407407,0.6103896103896104,21.824468085106382,0.39,1.0
mixed,8,Adaptive,0.9607843137254902,0.04081632653061224,0.2435064935064935,18.173333333333332,0.47,1.0
mixed,8,Smart Adaptive,0.9487179487179487,0.08196721311475409,0.3409090909090909,18.857142857142858,0.32,1.0
mixed,9,Sequential,0.9318181818181818,0.07142857142857142,0.7198697068403909,20.67420814479638,0.37,1.0
mixed,9,Random,0.918918918918919,0.07936507936507936,0.5211726384364821,18.46875,0.29,1.0
mixed,9,Adaptive,1.0,0.08333333333333333,0.36156351791530944,21.675675675675677,0.48,1.0
mixed,9,Smart Adaptive,1.0,0.0625,0.44299674267100975,14.536764705882353,0.49,1.0
mixed,10,Sequential,0.9705882352941176,0.045454545454545456,0.6656346749226006,23.148837209302325,0.3,1.0
